epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.161,1.47479,2.78157,1.43088,0.4787,0.51906,0.45842,0.25841,1.43269,4.37063,1.16725,0.0675572,0.000261635,0.000261635
2,123.082,1.60336,2.52742,1.47388,0.58542,0.49779,0.51245,0.24667,1.50344,5.97101,1.22057,0.0344775,0.000515207,0.000515207
3,183.437,1.68969,3.54104,1.53513,0.14768,0.48541,0.17847,0.08699,1.66314,14.7812,1.51453,0.00138449,0.000755558,0.000755558
4,243.207,1.61776,2.30125,1.4303,0.73408,0.63241,0.69461,0.36422,1.50998,1.84011,1.2019,0.00074051,0.00074051,0.00074051
5,303.31,1.54932,2.25532,1.36271,0.91101,0.68927,0.79062,0.5506,1.13291,1.18727,1.10731,0.00072068,0.00072068,0.00072068
6,362.301,1.47431,1.61827,1.3278,0.8513,0.71641,0.78671,0.48582,1.37878,1.22015,1.09212,0.00070085,0.00070085,0.00070085
7,421.751,1.38833,1.44562,1.28892,0.6963,0.73583,0.79566,0.50197,1.28937,1.1908,1.1296,0.00068102,0.00068102,0.00068102
8,482.074,1.31495,1.33386,1.24353,0.90375,0.76707,0.85846,0.45455,1.66202,1.11178,1.18895,0.00066119,0.00066119,0.00066119
9,540.71,1.29462,1.21918,1.24318,0.88922,0.81146,0.86729,0.49514,1.51342,0.94234,1.13911,0.00064136,0.00064136,0.00064136
10,600.231,1.25536,1.12973,1.19995,0.91119,0.79749,0.87812,0.59569,1.1918,0.95071,1.02939,0.00062153,0.00062153,0.00062153
11,659.047,1.23055,1.04585,1.19151,0.9474,0.82232,0.88779,0.58893,1.24536,0.84934,1.02918,0.0006017,0.0006017,0.0006017
12,718.288,1.1941,1.05414,1.1684,0.95998,0.813,0.89014,0.61496,1.16212,0.80282,1.01846,0.00058187,0.00058187,0.00058187
13,777.387,1.1691,0.95144,1.14187,0.94557,0.80392,0.90372,0.60244,1.20073,0.82739,1.04344,0.00056204,0.00056204,0.00056204
14,836.495,1.17426,0.96042,1.15939,0.96451,0.81877,0.90438,0.64697,1.07394,0.77579,0.99847,0.00054221,0.00054221,0.00054221
15,895.855,1.15579,0.92522,1.14888,0.94563,0.86657,0.91915,0.61092,1.22323,0.74829,1.01963,0.00052238,0.00052238,0.00052238
16,954.009,1.10626,0.89897,1.11966,0.97046,0.82383,0.90808,0.66042,1.01058,0.68664,0.97764,0.00050255,0.00050255,0.00050255
17,1013.48,1.11538,0.87782,1.12506,0.94502,0.85185,0.91594,0.66848,0.97424,0.67639,0.95752,0.00048272,0.00048272,0.00048272
18,1071.06,1.08932,0.85524,1.12544,0.91875,0.87596,0.9205,0.63988,1.1387,0.66988,0.98777,0.00046289,0.00046289,0.00046289
19,1130.84,1.09658,0.84718,1.12444,0.97109,0.85085,0.92325,0.70932,0.85659,0.62911,0.94186,0.00044306,0.00044306,0.00044306
20,1189.79,1.07186,0.81027,1.11513,0.94508,0.88665,0.93232,0.69214,0.95228,0.63035,0.9448,0.00042323,0.00042323,0.00042323
21,1249.44,1.08509,0.78839,1.12485,0.93665,0.89064,0.93267,0.67818,0.99584,0.60429,0.95432,0.0004034,0.0004034,0.0004034
22,1309.37,1.00335,0.74643,1.08137,0.97424,0.88733,0.9293,0.65408,1.08228,0.64096,0.97313,0.00038357,0.00038357,0.00038357
23,1367.76,1.01244,0.75602,1.08859,0.97168,0.87436,0.92793,0.6582,1.0505,0.63802,0.96051,0.00036374,0.00036374,0.00036374
24,1427.01,1.00386,0.7235,1.07922,0.97082,0.85878,0.92546,0.74232,0.76476,0.57744,0.90933,0.00034391,0.00034391,0.00034391
25,1485.61,0.96002,0.69183,1.06124,0.95774,0.89569,0.93044,0.73453,0.75312,0.59759,0.91671,0.00032408,0.00032408,0.00032408
26,1543.91,0.96057,0.68231,1.05949,0.97242,0.88214,0.93481,0.75815,0.68541,0.53791,0.88434,0.00030425,0.00030425,0.00030425
