epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.3494,1.47605,2.00391,1.44252,0.85469,0.68676,0.77636,0.46057,1.43637,1.48765,1.43754,0.0805736,0.000196226,0.000196226
2,159.594,1.43258,1.28386,1.41928,0.80983,0.71827,0.78774,0.48393,1.32763,1.38977,1.33553,0.0607605,0.000383151,0.000383151
3,238.394,1.4573,1.25321,1.47196,0.79098,0.65857,0.76044,0.43482,1.45714,1.43308,1.43316,0.0409342,0.000556875,0.000556875
4,317.933,1.44366,1.21721,1.45038,0.81014,0.78397,0.8127,0.47762,1.36215,1.32674,1.39889,0.0210948,0.0007174,0.0007174
5,398.902,1.45146,1.22324,1.48409,0.55816,0.64623,0.65144,0.37268,1.50167,2.52308,1.55494,0.00124208,0.000864725,0.000864725
6,477.317,1.50301,1.24179,1.52293,0.89923,0.75351,0.86237,0.45677,1.63959,1.33117,1.53362,0.000835,0.000835,0.000835
7,559.507,1.45407,1.17445,1.47279,0.86013,0.75982,0.82176,0.51776,1.32876,1.18322,1.39585,0.000802,0.000802,0.000802
8,637.138,1.38056,1.1127,1.44295,0.8936,0.75877,0.85911,0.51966,1.43356,0.98165,1.42214,0.000769,0.000769,0.000769
9,713.807,1.36289,1.03246,1.41967,0.90411,0.72181,0.81401,0.4938,1.4603,1.14631,1.45949,0.000736,0.000736,0.000736
10,794.131,1.36051,1.06476,1.4157,0.88779,0.82207,0.89162,0.59842,1.23263,0.88611,1.3177,0.000703,0.000703,0.000703
11,871.992,1.3542,0.98294,1.40053,0.9123,0.80232,0.89137,0.58553,1.25566,0.88049,1.2961,0.00067,0.00067,0.00067
12,950.1,1.34666,0.97956,1.39208,0.95547,0.84503,0.90789,0.56098,1.37758,0.75907,1.35312,0.000637,0.000637,0.000637
13,1029.52,1.31629,0.92829,1.3709,0.9498,0.85139,0.9182,0.58265,1.30271,0.74069,1.29691,0.000604,0.000604,0.000604
14,1107.61,1.30397,0.94624,1.36314,0.91493,0.86145,0.91797,0.55699,1.45789,0.83283,1.36821,0.000571,0.000571,0.000571
15,1188.55,1.28929,0.9161,1.35931,0.94022,0.86898,0.93304,0.5899,1.36547,0.73763,1.31136,0.000538,0.000538,0.000538
16,1260.85,1.11313,0.81808,1.36746,0.97779,0.8433,0.92534,0.57662,1.32977,0.72125,1.3029,0.000505,0.000505,0.000505
17,1327.49,1.13135,0.78411,1.38688,0.95824,0.84674,0.91044,0.61756,1.17625,0.74756,1.25305,0.000472,0.000472,0.000472
18,1395.93,1.14942,0.77802,1.40104,0.91823,0.71998,0.82218,0.56063,1.18163,1.19709,1.28902,0.000439,0.000439,0.000439
19,1462.46,1.10742,0.74412,1.34342,0.87734,0.88046,0.91652,0.62127,1.15889,0.73157,1.23772,0.000406,0.000406,0.000406
20,1530.73,1.09418,0.72514,1.3285,0.91557,0.89222,0.93683,0.62175,1.22163,0.64702,1.24743,0.000373,0.000373,0.000373
21,1597.39,1.06133,0.69534,1.28182,0.96041,0.87486,0.94511,0.55712,1.47175,0.68979,1.36644,0.00034,0.00034,0.00034
22,1664.07,1.04192,0.68207,1.28654,0.97144,0.84637,0.91943,0.58804,1.33712,0.72589,1.29061,0.000307,0.000307,0.000307
23,1731.36,1.01134,0.60829,1.24982,0.95639,0.89675,0.94541,0.61291,1.29081,0.61653,1.27981,0.000274,0.000274,0.000274
24,1799.1,1.01347,0.62448,1.28878,0.96795,0.87428,0.93954,0.63542,1.19909,0.60494,1.23132,0.000241,0.000241,0.000241
25,1867.03,0.99586,0.59718,1.25652,0.96366,0.89918,0.94921,0.63444,1.24973,0.57501,1.25742,0.000208,0.000208,0.000208
26,1933.6,0.9802,0.57855,1.23468,0.97432,0.9094,0.95626,0.60996,1.34073,0.55627,1.29939,0.000175,0.000175,0.000175
27,2001.66,0.93165,0.55125,1.21737,0.97906,0.91546,0.95946,0.64547,1.20123,0.53755,1.21933,0.000142,0.000142,0.000142
28,2067.98,0.94349,0.55251,1.2099,0.97778,0.91359,0.95625,0.63684,1.22349,0.53842,1.21581,0.000109,0.000109,0.000109
29,2136.83,0.93728,0.52298,1.2179,0.98068,0.90093,0.95783,0.64826,1.18924,0.53225,1.19449,7.6e-05,7.6e-05,7.6e-05
30,2203.33,0.90795,0.51459,1.19692,0.96562,0.91473,0.95949,0.66412,1.12971,0.51242,1.15959,4.3e-05,4.3e-05,4.3e-05
